A'ou, 2
A'tong, 7
A-Pucikwar, 12
Aari, 6
Aasáx, 3
Abadi, 18
Abaga, 4
Abai Sungai, 3
Abanyom, 8
Abar, 11
Abau, 32
Abaza, 20
Abellen Ayta, 18
Abidji, 27
Abinomn, 3
Abipon, 10
Abishira, 4
Abkhazian, 29
Abom, 106
Abon, 3
Abron, 3
Abu, 7
Abu' Arapesh, 4
Abua, 13
Abui, 285
Abun, 38
Abure, 12
Abureni, 3
Abé, 3
Acatepec Me'phaa, 12
Achagua, 22
Achang, 58
Ache, 3
Acheron, 7
Achi, 70
Achinese, 129
Achterhoeks, 4
Achuar-Shiwiar, 60
Achumawi, 115
Aché, 8
Acoli, 16
Acroá, 3
Adabe, 4
Adai, 2
Adamawa Fulfulde, 18
Adamorobe Sign Language, 4
Adang, 72
Adangbe, 3
Adangme, 10
Adap, 2
Adara, 16
Adasen, 3
Adele, 18
Adhola, 4
Adi, 30
Adioukrou, 33
Adithinngithigh, 3
Adivasi Oriya, 25
Adiwasi Garasia, 3
Adnyamathanha, 7
Adonara, 3
Aduge, 3
Adyghe, 107
Adzera, 51
Aeka, 4
Aekyom, 20
Aer, 2
Afade, 5
Afar, 29
Afghan Sign Language, 2
Afitti, 5
Afrikaans, 1386
Afro-Seminole Creole, 3
Agarabi, 46
Agariya, 2
Agatu, 3
Agavotaguerra, 2
Aghem, 24
Aghu, 7
Aghu-Tharnggala, 2
Aghul, 11
Aghwan, 2
Agi, 5
Agob, 887
Agoi, 2
Aguacateco, 66
Aguano, 2
Aguaruna, 168
Aguna, 4
Agusan Manobo, 35
Agutaynen, 33
Agwagwune, 3
Ahanta, 8
Aheu, 12
Ahirani, 2
Ahom, 15
Ahtena, 796
Ahwai, 10
Ai-Cham, 2
Aighon, 6
Aikanã, 411
Aiklep, 4
Aimaq, 3
Aimele, 310
Aimol, 3
Ainbai, 3
Ainu (China), 5
Ainu (Japan), 19
Aiome, 8
Airoran, 4
Aiton, 18
Aja (Benin), 19
Aja (Sudan), 6
Ajawa, 3
Ajië, 68
Ajumbu, 5
Ajyíninka Apurucayali, 14
Ak, 4
Aka, 18
Aka-Bea, 5
Aka-Bo, 4
Aka-Cari, 5
Aka-Jeru, 4
Aka-Kede, 5
Aka-Kol, 4
Aka-Kora, 4
Akan, 246
Akar-Bale, 4
Akaselem, 4
Akawaio, 40
Ake, 2
Akebu, 3
Akei, 13
Akeu, 2
Akha, 32
Akhvakh, 8
Akkadian, 23
Akkala Sami, 17
Aklanon, 14
Akolet, 13
Akoose, 26
Akoye, 9
Akpa, 2
Akpes, 341
Akrukay, 111
Akukem, 13
Akuku, 2
Akum, 4
Akuntsu, 3
Akurio, 9
Akwa, 2
Akyaung Ari Naga, 1
Al-Sayyid Bedouin Sign Language, 2
Alaba-K’abeena, 6
Alabama, 34
Alabat Island Agta, 3
Alacalufan languages, 1
Alacatlatzala Mixtec, 41
Alago, 3
Alagwa, 7
Alak, 5
Alamblak, 39
Alangan, 4
Alapmunte, 1
Alawa, 14
Albanian, 9
Albanian Sign Language, 2
Alcozauca Mixtec, 13
Alege, 3
Alekano, 69
Aleut, 147
Algerian Arabic, 9
Algerian Saharan Arabic, 3
Algerian Sign Language, 3
Algonquin, 23
Ali, 4
Alladian, 7
Allar, 3
Alngith, 5
Alo Phola, 2
Alor, 196
Aloápam Zapotec, 21
Alsea, 9
Alu Kurumba, 4
Alugu, 2
Alumu-Tesu, 3
Alune, 25
Aluo, 14
Alur, 7
Alutor, 16
Alviri-Vidari, 2
Alyawarr, 74
Ama (Papua New Guinea), 24
Ama (Sudan), 11
Amahai, 3
Amahuaca, 69
Amaimon, 10
Amal, 5
Amanab, 16
Amanayé, 2
Amara, 5
Amarakaeri, 51
Amarasi, 122
Amatlán Zapotec, 20
Amba (Solomon Islands), 5
Amba (Uganda), 5
Ambai, 21
Ambakich, 15
Ambala Ayta, 4
Ambelau, 2
Ambele, 4
Amblong, 3
Ambo, 3
Ambo-Pasco Quechua, 29
Ambonese Malay, 9
Ambrak, 3
Ambul, 7
Ambulas, 62
Amdang, 6
Amdo Tibetan, 14
Amele, 48
American Sign Language, 118
Amganad Ifugao, 27
Amharic, 326
Ami, 10
Amis, 12
Amo, 7
Amol, 5
Amoltepec Mixtec, 28
Ampanang, 2
Ampari Dogon, 3
Amri Karbi, 3
Amto, 6
Amundava, 4
Amurdak, 7
Ana Tinga Dogon, 2
Anaang, 2
Anakalangu, 2
Anal, 77
Anam, 5
Anambé, 2
Anamgura, 7
Anasi, 2
Ancient Greek (to 1453), 205
Ancient Hebrew, 93
Ancient Macedonian, 1
Ancient North Arabian, 2
Andaandi, 5
Andai, 3
Andajin, 1
Andalusian Arabic, 2
Andaman Creole Hindi, 3
Andaqui, 3
Andarum, 5
Andegerebinha, 5
Andh, 3
Andi, 7
Andio, 6
Andoa, 14
Andoque, 17
Andra-Hus, 9
Aneityum, 71
Anem, 8
Aneme Wake, 6
Anfillo, 6
Angaataha, 34
Angal, 7
Angal Enen, 6
Angal Heneng, 8
Angami Naga, 12
Angguruk Yali, 38
Angika, 4
Angkamuthi, 3
Anglo-Norman, 3
Angloromani, 6
Angolar, 10
Angor, 29
Angoram, 19
Angosturas Tunebo, 6
Anguthimri, 3
Ani Phowa, 3
Anii, 18
Animere, 35
Anindilyakwa, 37
Anjam, 15
Ankave, 19
Anmatyerre, 84
Anong, 15
Anor, 8
Anserma, 3
Ansus, 5
Antakarinya, 4
Antankarana Malagasy, 5
Antigua and Barbuda Creole English, 4
Anu-Hkongso Chin, 3
Anuak, 18
Anufo, 40
Anuki, 9
Anus, 4
Anuta, 4
Anyin, 33
Anyin Morofo, 3
Ao Naga, 20
Aoheng, 3
Aore, 3
Ap Ma, 18
Apache languages, 1
Apalachee, 3
Apalaí, 33
Apali, 9
Apasco-Apoala Mixtec, 13
Apatani, 6
Apiaká, 3
Apinayé, 37
Apma, 70
Aproumu Aizi, 8
Apurinã, 24
Aputai, 3
Aquitanian, 1
Arabana, 6
Arabela, 136
Arabic, 116
Aragonese, 8
Araki, 23
Arakwal, 2
Aralle-Tabulahan, 12
Aramanik, 2
Arammba, 39
Aranadan, 4
Aranama-Tamique, 1
Arandai, 17
Araona, 32
Arapaho, 277
Arapaso, 4
Arauan languages, 1
Arawak, 48
Arawakan languages, 1
Araweté, 4
Arawum, 5
Arbore, 12
Arbëreshë Albanian, 5
Archi, 19
Ardhamāgadhī Prākrit, 1
Are, 9
Areba, 2
Arem, 11
Arequipa-La Unión Quechua, 27
Argentine Sign Language, 6
Argobba, 14
Arguni, 3
Arhuaco, 56
Arhâ, 2
Arhö, 3
Ari, 4
Aribwatsa, 6
Aribwaung, 3
Arifama-Miniafia, 12
Arigidi, 3
Arikapú, 4
Arikara, 9
Arikem, 3
Arin, 2
Aringa, 22
Arma, 3
Armazic, 1
Armenian, 57
Armenian Sign Language, 3
Arop-Lokep, 15
Arop-Sissano, 13
Arosi, 41
Arpitan, 66
Arta, 32
Artificial languages, 1
Aruamu, 10
Aruek, 3
Aruop, 4
Arutani, 4
Aruá (Amazonas State), 2
Aruá (Rodonia State), 3
Arvanitika Albanian, 5
As, 4
Asaro'o, 5
Asas, 4
Ashe, 6
Ashkun, 2
Asho Chin, 10
Ashtiani, 2
Asháninka, 102
Ashéninka Pajonal, 136
Ashéninka Perené, 14
Asilulu, 3
Askopan, 7
Asoa, 3
Assamese, 146
Assan, 2
Assangori, 8
Assiniboine, 35
Assyrian Neo-Aramaic, 43
Asturian, 8
Asu (Nigeria), 3
Asu (Tanzania), 6
Asue Awyu, 9
Asumboa, 3
Asunción Mixtepec Zapotec, 5
Asuri, 2
Ata, 2
Ata Manobo, 25
Atakapa, 10
Atampaya, 5
Atatláhuca Mixtec, 22
Atayal, 14
Atemble, 76
Athpariya, 16
Ati, 3
Atikamekw, 15
Atohwaim, 5
Atong, 4
Atorada, 7
Atsahuaca, 1
Atsam, 2
Atsugewi, 147
Attapady Kurumba, 2
Attié, 11
Atzingo Matlatzinca, 7
Au, 42
Aulua, 48
Aurá, 2
Aushi, 3
Aushiri, 4
Austral, 7
Australian Aborigines Sign Language, 3
Australian Sign Language, 9
Austrian Sign Language, 3
Auwe, 3
Auye, 14
Auyokawa, 2
Avaric, 25
Avatime, 462
Avau, 14
Avestan, 5
Avikam, 6
Avokaya, 26
