'Are'are, 277
A'ou, 175
A-Pucikwar, 2
Aari, 18
Aasax, 6
Aba, 2
Abaga, 110
Abai, 1
Abanyom, 3
Abau, 18
Abaza, 54
Abenaki, 118
Abenlen Ayta, 3
Abidji, 1
Abinomn, 265
Abipon, 1
Abkhaz, 320
Abon, 2
Abron, 4
Abu, 3
Abu' Arapesh, 4
Abua, 1
Abui, 5
Abun, 1
Abung, 2
Abure, 2
Abé, 1
Acatepec Me'phaa, 2
Acehnese, 199
Achagua, 2
Achang, 2
Acheron, 3
Achi, 1
Acholi, 21
Achuar, 9
Achumawi, 2
Aché, 1
Adang, 1
Adangme, 25
Adele, 1
Adi, 1
Adioukrou, 1
Adja, 1
Adnyamathanha, 2
Adyghe, 5348
Adzera, 3
Aeka, 12
Aequian, 2
Afade, 1
Afar, 60
Afitti, 2
Afrikaans, 3735
Agarabi, 2
Agatu, 1
Agawam, 1
Aghem, 2
Aghu Tharrnggala, 6
Aghul, 10
Agi, 2
Agoi, 1
Aguacateca, 3
Aguaruna, 21
Agusan Manobo, 2
Agutaynen, 19
Ahirani, 2
Ahom, 130
Ahtna, 5
Ahwai, 1
Ai-Cham, 11
Aikanã, 3
Aimele, 2
Ainbai, 1
Ainu, 304
Aisi, 4
Aiton, 15
Aiwoo, 194
Aja, 1
Ajië, 67
Aka (Central Africa), 1
Aka-Bea, 11
Aka-Bo, 3
Aka-Cari, 2
Aka-Kede, 2
Aka-Kora, 1
Akan, 95
Akar-Bale, 1
Akaselem, 1
Akatek, 1
Akawaio, 5
Ake, 1
Akebu, 1
Akei, 1
Akha, 2
Akhvakh, 9
Akkadian, 352
Akkala Sami, 4
Aklanon, 33
Akolet, 2
Akoose, 1
Akoye, 4
Akpa, 1
Akpes, 1
Akum, 1
Akuntsu, 1
Akuwagel, 2
Alaba, 2
Alabama, 101
Alago, 1
Alagwa, 4
Alak, 5
Alamblak, 2
Alangan, 17
Alawa, 1
Alazapa, 1
Albanian, 8754
Alcozauca Mixtec, 28
Alekano, 2
Alemannic German, 1706
Aleut, 205
Algerian Arabic, 1
Algonquin, 24
Ali, 1
Alladian, 3
Allentiac, 13
Aloápam Zapotec, 1
Alsea, 2
Alu, 2
Alumu-Tesu, 1
Alune, 3
Alungul, 5
Alutiiq, 8
Alutor, 107
Alviri-Vidari, 45
Alyawarr, 5
Ama, 23
Amahai, 4
Amahuaca, 8
Amaimon, 4
Amal, 2
Amanab, 55
Amara, 1
Amarakaeri, 1
Amarasi, 1
Amarizana, 7
Amasi, 6
Amatlán Zapotec, 2
Ambai, 5
Ambakich, 1
Ambala Ayta, 3
Ambele, 1
Amblong, 1
Ambonese Malay, 11
Ambrak, 1
Ambulas, 2
Amdang, 1
Amele, 5
American Sign Language, 447
Amganad Ifugao, 3
Amharic, 467
Ami, 1
Amis, 537
Ammonite, 11
Amo, 1
Amol, 1
Amondawa, 3
Ampari Dogon, 1
Amurdag, 3
Ana Tinga Dogon, 1
Anaang, 4
Anakalangu, 1
Anal, 8
Anam, 1
Anambé, 1
Anauyá, 2
Ancient Greek, 22561
Ancient Macedonian, 19
Ancient North Arabian, 1
Andalusian Arabic, 12
Andaqui, 1
Andi, 5
Andio, 4
Andoa, 1
Andoque, 1
Andoquero, 1
Aneityum, 2
Aneme Wake, 9
Angaataha, 5
Angaité, 1
Angami, 4
Angevin, 2
Angguruk Yali, 17
Angika, 3
Angkola Batak, 1
Angkula, 3
Angloromani, 35
Angolar, 2
Angor, 7
Angoram, 1
Anii, 1
Animere, 1
Anindilyakwa, 1
Anjam, 11
Ankave, 12
Anmatyerre, 2
Annobonese, 12
Anong, 2
Ansus, 5
Antigua and Barbuda Creole English, 2
Antillean Creole, 274
Anuak, 1
Anufo, 1
